	pseudotime	branches	scalings
cell_0	150	1	2.082863365820293
cell_1	120	1	2.2306021422388773
cell_2	297	4	0.23318729052219667
cell_3	221	4	0.7651570012100014
cell_4	290	3	0.8488212189530703
cell_5	103	1	0.5649834792461652
cell_6	281	4	0.7184750283187648
cell_7	191	1	0.2028578808699752
cell_8	71	0	0.7777997700823374
cell_9	6	0	2.7975263910003743
cell_10	75	0	0.8989791826059892
cell_11	41	0	1.322080176468069
cell_12	210	4	1.2397722365005188
cell_13	58	0	2.8202271865880775
cell_14	297	3	1.0209318128499465
cell_15	1	0	2.533579183308562
cell_16	228	3	1.0698851573177008
cell_17	173	1	0.6105718840871361
cell_18	156	1	0.5878461016837769
cell_19	288	4	1.0397176133925115
cell_20	237	3	0.6112081187816576
cell_21	47	0	0.4866874262281638
cell_22	119	1	1.398984213256181
cell_23	133	1	0.4229973067885058
cell_24	147	2	0.7704389719742257
cell_25	291	4	1.3588788299467989
cell_26	21	0	0.4345170998661583
cell_27	182	1	2.3620207105570934
cell_28	180	2	1.8104618302989148
cell_29	152	1	0.6455142071852945
cell_30	130	1	0.4440144612988484
cell_31	16	0	2.209941078970695
cell_32	67	0	1.7371735296531878
cell_33	137	2	1.7012938754769333
cell_34	155	1	0.9196789587384467
cell_35	128	1	0.41853499329870597
cell_36	209	4	0.6039137667460908
cell_37	271	3	0.6177507999047976
cell_38	276	3	3.253698196119996
cell_39	163	2	0.36556207127097623
cell_40	145	2	1.4796973310542996
cell_41	140	1	1.1107775061613585
cell_42	258	4	1.048440656588745
cell_43	94	0	0.9657212481390668
cell_44	169	2	0.4749617402767839
cell_45	148	2	1.2866790378433237
cell_46	20	0	1.3075910767768668
cell_47	241	3	0.9928854597446322
cell_48	199	2	0.9060642363798258
cell_49	147	2	0.8053902057721932
cell_50	63	0	0.8273773504637493
cell_51	277	3	0.5377442765902805
cell_52	254	3	0.9599815172184344
cell_53	153	1	0.33935497353745725
cell_54	98	0	0.9745806505484833
cell_55	212	3	0.5334088734930582
cell_56	90	0	1.3525698314293335
cell_57	280	4	0.5473330362342572
cell_58	125	1	0.7294011059948541
cell_59	128	2	0.7310964020522731
cell_60	241	4	0.4407180225313974
cell_61	228	3	1.755021291944468
cell_62	10	0	0.7016917871844431
cell_63	240	3	1.4780638201056902
cell_64	188	1	0.6624732584491967
cell_65	181	1	0.4625351631644298
cell_66	122	2	0.4883585119234772
cell_67	119	1	1.813173790175453
cell_68	162	1	0.6868742178260033
cell_69	190	1	1.3635877551745486
cell_70	234	3	0.39351460558461493
cell_71	171	1	0.3531256708893706
cell_72	261	4	1.2137614403642152
cell_73	79	0	0.48059571229191284
cell_74	229	3	2.121475518701947
cell_75	231	3	1.1910639196813846
cell_76	266	4	0.4790254927969011
cell_77	132	1	2.241579196284806
cell_78	18	0	0.4130774517499169
cell_79	263	4	6.259851998740568
cell_80	158	2	2.498967677070544
cell_81	230	3	1.5409843776694492
cell_82	175	2	1.2980267777111787
cell_83	20	0	0.8997991942905049
cell_84	99	0	0.8029324664972166
cell_85	202	3	0.20380964846558355
