	alpha	beta	genescale
gene_0	0.1528097837568589	2.565072217525025	8.880720175748909
gene_1	0.21059648814091939	1.9766350041095275	2.360278675369417
gene_2	0.17545165930071907	1.705918095206654	2.0406587509480203
gene_3	0.20988629020989383	2.0927670093585893	0.618483560778123
gene_4	0.11369432764621669	1.9450879792167046	0.48370876851739886
gene_5	0.2149685284808827	2.0100739502652125	0.9694206422959538
gene_6	0.2670947466775723	2.3425079742256525	0.5540389297798005
gene_7	0.0975958427096964	2.6330323558195055	4.0674622605323165
gene_8	0.1561960132654594	1.6641169509778067	4.334898190372141
gene_9	0.19889460805387568	2.1663316554803425	2.9386178278650066
gene_10	0.4380948765543141	1.710836409534307	0.5826012126304029
gene_11	0.2761354154271263	1.4422329715236317	1.0729340021728624
gene_12	0.2300563479364352	2.2474504605665064	1.0672909724951296
gene_13	0.16760882056793733	3.0354136860098615	2.5487756416581266
gene_14	0.28558308410493866	2.239486077582602	0.9958160550454112
gene_15	0.1267628473348842	3.362598488838915	4.697983655841857
gene_16	0.23454832461348926	1.8721569190021685	22.5180083703026
gene_17	0.23998665066700334	1.9686004339405048	2.8508023165235405
gene_18	0.3320085826358461	2.0650217303048937	4.327064880126185
gene_19	0.18326097453340592	2.464318254428867	3.3129036125068403
gene_20	0.2265466558476651	1.4617758046100475	0.9419146417254475
gene_21	0.1807021522138558	2.2028978141156927	2.433646116309993
gene_22	0.19867125010801812	1.843465462006671	0.38498369781983227
gene_23	0.17184380854718848	2.6813951370769824	0.11138396421527358
gene_24	0.13206883016724105	1.7501095467222345	1.3540315938560294
gene_25	0.28346346328270683	1.7785964460350598	4.161521385734189
gene_26	0.08147881433555748	2.0259120409384437	6.628986799123057
gene_27	0.177941295084818	2.4827132278683934	4.674688882524691
gene_28	0.37712241214711073	2.1019777753976947	0.4437922718891559
gene_29	0.11611820909636969	2.1494245247786887	2.1912103259728632
gene_30	0.19016976336687844	2.041941718122304	3.9939170305910734
gene_31	0.3087251674663557	1.48123518399064	2.594770167991176
gene_32	0.3073626850926516	1.6746356970718708	1.7311114609191545
gene_33	0.3418173692440596	2.0706947342037116	4.419256435931815
gene_34	0.24695765374542086	1.906515532220392	5.2659501696215445
gene_35	0.3141937403473023	1.6091779414896612	1.8874351981207094
gene_36	0.1424538200516991	2.3163196548350378	2.2325106956210337
gene_37	0.24133557726851995	1.9552986208717114	0.9741485978783724
gene_38	0.13239486261267105	1.8674422310853989	1.4574626808100815
gene_39	0.14564910629579395	1.6417289659965393	6.94549536060143
gene_40	0.18646791384841657	1.8326454693126322	3.331670415817137
gene_41	0.2119857722049371	1.8914294204182975	1.819780537315411
gene_42	0.13814884754524004	2.216101241702444	3.3530626143366202
gene_43	0.12616458725923133	2.050073732480204	0.7551746173287305
gene_44	0.20712860685598933	2.6549933411485624	1.143246976946711
gene_45	0.08609782314757705	2.357639042768387	1.9803185234527354
gene_46	0.12342828761701584	2.1805273578844337	2.374233168500304
gene_47	0.14535120349592454	3.434275603650745	2.0563762870847166
gene_48	0.16152672298862622	1.7386483888650341	0.9809479353421553
gene_49	0.11768289512943018	1.8179475339385793	1.6544317126832078
gene_50	0.13147976733191574	1.9428174544881844	10.228758612011731
gene_51	0.37153180782169487	1.9060661097311666	0.5400386883681614
gene_52	0.22897989792365372	2.3538923655662103	3.7340514116561603
gene_53	0.13692324052079183	2.2239586869915513	1.6372011767703416
gene_54	0.5129115282820697	2.0995756589711103	0.7677272637012075
gene_55	0.13754321124617314	1.9230653942588045	9.403715208116154
gene_56	0.3951297105345157	1.891454956113445	10.838909041609613
gene_57	0.17531822319817483	1.9560965197187876	1.3953493692724415
gene_58	0.1848236685039729	1.657779530436593	2.200266528519622
gene_59	0.1366344262053607	1.5913958653381273	5.6241324442536715
gene_60	0.2671706392396154	2.1101120733097805	2.594233336038027
gene_61	0.27945956060941374	1.847269954971218	0.7275118597995764
gene_62	0.12267838395726467	1.6122323160054144	0.9846252215987136
gene_63	0.22749955557069498	1.854413102179341	3.3036849610625607
gene_64	0.18757687689052244	1.9251293686949973	2.498649839073326
gene_65	0.11286576762191929	1.927702295677486	13.045251486542767
gene_66	0.15123149963647356	2.054619354490331	3.206141585901318
gene_67	0.24705505264324928	2.13679463978562	2.2988943442406806
gene_68	0.2902267457838513	1.8719304626149147	2.939117869659404
gene_69	0.11730528114309874	1.5271271892082303	4.163456259292442
gene_70	0.09660737625330287	2.241129841941805	6.66641718773867
gene_71	0.23404981336711483	2.2933257309532697	1.9752737358036092
gene_72	0.2928574895333373	2.2472879729796578	1.5314068054101868
gene_73	0.21174140850251977	1.6969214880270527	1.355286141073399
gene_74	0.16379772461307668	1.9954647836873063	0.24441302959682165
gene_75	0.14077318269670214	1.8152276761922992	0.35079105801365484
gene_76	0.554107096595452	1.9625373316456096	1.2355005951205327
gene_77	0.15702834924732298	2.2370043200565934	3.2192818796712066
gene_78	0.19899202919064465	1.665008204185657	1.4179393448715034
gene_79	0.2565217840927092	2.132659647455131	1.169177514155384
gene_80	0.17123589855067087	2.0180739018410736	1.6063013544402256
gene_81	0.11220066410709689	1.4784611481872993	1.4287214042208307
gene_82	0.15430200242145423	2.558428227332647	1.135037949125084
gene_83	0.1958567457048712	2.519220811292202	2.767992895335696
gene_84	0.27083053130913765	2.237662447520218	3.07138495395323
gene_85	0.08029108560521074	1.6099418469858642	3.29556383245063
gene_86	0.1676484606826186	2.1615599075461387	0.5014221628141011
gene_87	0.3661492002587838	1.5766417886541928	1.0827638495492693
gene_88	0.21081825611699512	1.9944362532482267	0.5495769724557977
gene_89	0.29161484979664454	1.8726154069635825	6.377429409597691
gene_90	0.24226292857301568	3.765999199884888	19.10486043130401
gene_91	0.26270968720173205	1.9875007906397526	0.4953413384702828
gene_92	0.11773685858025967	1.8457594290342323	1.0377103229737406
gene_93	0.13762655865104204	1.9703527305242843	3.8859594572475467
gene_94	0.16167076529721344	1.708737262549462	0.560649478720124
gene_95	0.1839501779833046	1.59407758812144	2.18469403350948
gene_96	0.06177495166889265	2.266170153422382	0.9972369047351243
gene_97	0.23830933191393963	2.3723016449144243	2.9059170336328255
gene_98	0.11935540831855568	1.7129217341179768	0.7323413254666544
gene_99	0.15570632577705762	2.129146507710022	0.42801294452394967
gene_100	0.24776553042338656	1.6857025337646427	1.602484364174903
gene_101	0.16647741305865546	3.116377980971103	2.1332166248662467
gene_102	0.2123212582784734	3.4955629810723825	4.367807984399315
gene_103	0.21700692252574272	1.9492404071582414	2.0538763374303026
gene_104	0.30688060084067603	2.3111712531683564	0.15979452014530882
gene_105	0.20611114751833898	2.071658335234085	3.7105015440294626
gene_106	0.15519845349031103	1.8789999107970652	3.393733551500825
gene_107	0.2535928109833329	1.5883866964595441	1.9531578037135948
gene_108	0.14850532365246685	1.7188110601553983	1.102982529063179
gene_109	0.1329085358428268	1.8223157081224781	0.15148683712054356
gene_110	0.15792927585272776	2.686644937578346	15.60883137950366
gene_111	0.20374296877104653	1.764491537946792	7.464310812796378
gene_112	0.17469575561569695	2.15472692133128	1.1811210454642558
gene_113	0.18669053646547287	2.1742163355430852	1.5164555749160655
gene_114	0.28194451974408186	1.9983867606798795	14.183851640610223
gene_115	0.1409655647032285	3.226068972710381	0.7893259108153501
gene_116	0.18955635678139127	2.236362800907024	2.7969344379938397
gene_117	0.30348395790598526	2.0565571605879946	1.049864901835275
gene_118	0.0947920490651158	2.3821754377519415	1.3126902630292194
gene_119	0.29344262790718434	1.522590337419343	0.8749694778142219
gene_120	0.17868964841392268	2.1769411854079985	2.041390006215091
gene_121	0.1313393346947202	1.6898843038473528	1.2043051671474096
gene_122	0.226943274393156	2.2290473073450157	1.3293472338619587
gene_123	0.36057024430076695	1.4030214470237923	1.7794138896259788
gene_124	0.15082326888298586	1.9144240508919919	2.8676751988820617
gene_125	0.08486937286777688	2.00172589388006	2.55637324180493
gene_126	0.16770911580947254	1.6914287149089198	3.2181265933122454
gene_127	0.22474229882511484	2.5735709200468997	38.17768718466587
gene_128	0.34990628946019814	2.3250064324687436	6.12945652445858
gene_129	0.25576316864302034	2.0032094081833325	2.3861727838105833
gene_130	0.11395179549452045	1.960490213189415	3.681611617338081
gene_131	0.2528763537697554	1.6728776202768694	18.390238692997325
gene_132	0.20380422536961681	1.3347569547529177	1.6575603851251925
gene_133	0.1756526060460632	1.3604624489938715	0.6449075594376231
gene_134	0.18361400746094866	1.9381605604533743	45.6702471922457
gene_135	0.4718500023139365	1.6167305508537686	4.768173675437113
gene_136	0.15287258501576934	2.318666179941623	5.282516515670405
gene_137	0.15016639460546088	2.8062586871999624	0.3683337708747828
gene_138	0.2049045314235593	1.8928916177831487	5.761202663614295
gene_139	0.17271069456275198	1.6441549450140815	0.47680083735177176
gene_140	0.3711027613098879	2.129735723220164	0.8010098242328867
gene_141	0.1695958540289309	1.778509605098019	3.656375095580432
gene_142	0.22796954112725068	2.0713467628227615	9.532238363014516
gene_143	0.2011200581841778	1.7762198564964033	11.18005367683203
gene_144	0.13810744569846786	1.6976059463588968	1.1685630408085306
gene_145	0.2081758319696102	2.3436430345603987	2.859867474299143
gene_146	0.12093004913639395	2.132770696332886	1.8879222950086747
gene_147	0.2041085990311943	1.8576760379195414	1.162692939352614
gene_148	0.17706425302234943	2.5014650857233667	4.208711295597221
gene_149	0.09813862554589539	2.934370264949159	3.125811003658229
gene_150	0.3321195534553598	1.8832267144923178	1.5591288654823783
gene_151	0.3484276903263376	2.2348440548761106	3.8869665377437803
gene_152	0.300173081884848	2.4017750183171636	1.0330751063366568
gene_153	0.2580009819436381	1.8723354122392046	1.2351133019264144
gene_154	0.2862411573472933	2.42248039974037	3.2604648094729356
gene_155	0.4563438243804957	2.723139846189359	5.316903801015591
gene_156	0.197836722300753	1.9639293936789923	3.7987014708873708
gene_157	0.2837647251006121	1.537160150928698	1.0797423869016736
gene_158	0.4322709435236325	2.209593141272821	3.1113800005538916
gene_159	0.3601494785891199	1.6240618062521759	1.709516683461371
gene_160	0.15313563142177378	1.847113617342611	3.960023864736317
gene_161	0.25718175407749694	2.3248290505981366	1.9272517878091504
gene_162	0.10425559448876072	3.053561582658064	4.180419144704192
gene_163	0.24900928575645037	2.2320222045872335	6.039492372336625
gene_164	0.20669509909349726	1.75014721188149	0.9040274679072944
gene_165	0.25712688038328885	1.639846144585566	0.7397887963246704
gene_166	0.2415202530984867	2.633943837791854	7.705620800967868
gene_167	0.23697704870170605	1.6684386577248183	2.67942808929077
gene_168	0.08269472445602358	1.6850283638942216	1.977357999712173
gene_169	0.2637887972781971	2.3039651490040263	1.8551417547851157
gene_170	0.20610150025796267	1.749876694968496	0.712194915335736
gene_171	0.2798114953350347	1.244066697511438	0.62631515252966
gene_172	0.20046634528659407	2.405528047723295	3.672598198613137
gene_173	0.24834591863219244	1.8922588123136324	1.205908348205385
gene_174	0.20183267349707865	2.069476154721513	1.9207717535196727
gene_175	0.18317881243333675	2.6840192592136085	2.638346924433315
gene_176	0.18084380433170544	2.589395505543128	0.6852230452870218
gene_177	0.31887827543014774	1.8130647455658515	1.9769730500513527
gene_178	0.0917015220602411	1.9217832963873356	1.8161761999494388
gene_179	0.32647538916151286	1.8450648932388138	4.420849612846788
gene_180	0.1878862662129133	1.744457040781276	11.07207750952162
gene_181	0.1661634353396865	2.2295557710640574	1.455569580004352
gene_182	0.17219761301725142	1.6260951263966312	8.94915349048829
gene_183	0.10278450072116975	2.2720236567783605	0.9108895643277648
gene_184	0.11022629440963042	2.765456476087872	0.6746343418084261
gene_185	0.15056617082441273	1.7696964801926678	0.41626788080424193
gene_186	0.1482270395491046	2.1009028343354945	1.8750556614730642
gene_187	0.2101291891772098	1.7798132903004165	1.2455175196397694
gene_188	0.2905252876799025	1.7039570068108834	0.5127352896309177
gene_189	0.2600342157078287	1.7128989597757764	1.3897343225914673
gene_190	0.1819203319980308	1.8652981287287433	3.250476171936925
gene_191	0.2529546565721109	1.547144535446584	2.06243309217145
gene_192	0.14107294282600755	2.235009373710688	2.114672648692371
gene_193	0.16376849881291042	1.9495316196168369	3.2598756806579536
gene_194	0.1339245700306006	3.352313900258667	8.773882755655986
gene_195	0.21755254034371682	2.3752497613911148	2.302607381665238
gene_196	0.24238712848723934	1.921878474078217	2.505562077617957
gene_197	0.14303282749738266	2.149884599464624	3.3047115377751966
gene_198	0.2581635204134447	2.1561277142058435	9.596266528744502
gene_199	0.30376270417554446	2.4317904518214357	2.8269740064118682
gene_200	0.17319930605761036	1.9322661074185545	2.8136970983434537
gene_201	0.3093125627488683	1.8125102937912567	1.1439891877154615
gene_202	0.18062730884580244	1.559468100316427	2.5377996216717897
gene_203	0.11500525217734874	1.6816610704052302	1.1397010250562531
gene_204	0.21716946205646467	2.0643568682811515	1.4127369500467923
gene_205	0.16765009714245033	1.48791588232203	1.3499652393094181
gene_206	0.22114648064217127	2.215445640908924	8.73009986322159
gene_207	0.2775311410991049	2.882728009737324	0.8083171883874584
gene_208	0.24747930169277269	1.924938925302202	4.74354113450994
gene_209	0.11277427190290508	3.077856293256338	3.9421552224120497
gene_210	0.4535417202395376	2.2414408307990765	0.8729341115684789
gene_211	0.2615982140175002	1.3755014648710393	0.43934266408999123
gene_212	0.2143505523419711	2.2721592888807747	0.625069461402609
gene_213	0.23610083291840928	1.6740669383082127	3.6200239034646504
gene_214	0.25974237928642063	2.5498798226570405	2.9815248809299275
gene_215	0.3351570110281265	1.5482240148025492	13.884635977288344
gene_216	0.13161433861008348	1.492523067948771	1.326407457292596
gene_217	0.2405415735497736	1.8851054409224854	0.6876700720854969
gene_218	0.14193230323292594	1.8462673951055506	1.0044969425805441
gene_219	0.16658840961581603	1.7645937174346025	2.0768510418034847
gene_220	0.1750714108544824	2.2760920942010787	11.093360827849363
gene_221	0.2736125464952166	2.3387814837174563	6.635586133267324
gene_222	0.27994430099908824	2.196615322026296	1.0692604224451567
gene_223	0.18905578346964086	1.9214152565918088	8.870414439815061
gene_224	0.25099442431843244	2.345127085380549	6.15948041040574
gene_225	0.18358902431101554	2.0492820923078936	1.588168332440624
gene_226	0.1609633017249294	1.4208692343196485	1.777824419695761
gene_227	0.1747757578818681	1.6053271681562427	0.5876773257275045
gene_228	0.08942886103410293	1.444951495019363	0.282306835325369
gene_229	0.12444411661623812	1.9146531635275044	7.244202813212871
gene_230	0.1872086506936669	1.9816974722466822	1.5593510562473645
gene_231	0.18782624526552605	2.520771260330334	5.201704221579158
gene_232	0.1418813233314751	1.7465042716660224	9.293639268526263
gene_233	0.1416521935932626	2.267298351851979	4.328772641061847
gene_234	0.21614270272436037	3.0800129354987003	1.3489716111143104
gene_235	0.174609220317084	2.148303229661458	0.8371583775225687
gene_236	0.4128932048322687	3.025212371005105	0.18811930942059343
gene_237	0.1430939839040177	1.7041116621926133	4.217139031467491
gene_238	0.29394156147604494	1.4968999459405714	0.7352935635470041
gene_239	0.3518805099485338	2.0635658458697614	3.236487484489193
gene_240	0.10604939649790279	2.003837175409892	8.84094411979463
gene_241	0.1922713232070765	1.7917035663540752	15.282982449135051
gene_242	0.2054974831329456	1.904700003454463	2.0511549300721796
gene_243	0.14216995411481778	1.9307159313950724	3.6736012762789296
gene_244	0.36303191992166617	1.5749058962413123	0.5455970519683263
gene_245	0.3763340697516917	2.168633258530309	2.070557924123569
gene_246	0.21420283932670028	1.735209785315702	0.41800693123894306
gene_247	0.3624435332272277	2.1334648789730846	6.252304058136346
gene_248	0.09970480466375302	2.3060208860629325	14.825751527252502
gene_249	0.15053148120878995	1.9185416654859453	13.334897760110096
gene_250	0.3238556435617997	2.0269075657058204	3.486762864477714
gene_251	0.21003029208935786	1.9015485769788154	2.700896055531306
gene_252	0.1476418158371154	1.9608508100479023	1.7228884440380094
gene_253	0.2297486107462769	2.1118945405586453	12.45354394884098
gene_254	0.15052385282996822	1.730808857686858	6.83663945343079
gene_255	0.19112960566755907	2.426480999701849	5.4545103565118245
gene_256	0.19298146736667587	3.224726025217514	2.1715129680590057
gene_257	0.2186071634685587	1.8806351652675366	3.087221543031707
gene_258	0.3490573056841133	1.8006668465892486	0.9597086429971557
gene_259	0.11476952020441525	2.1022917257150397	1.4797495614473528
gene_260	0.1264891309652628	1.9313199188052534	0.6853590665809287
gene_261	0.2587024887538751	3.3137123552580046	9.787921851207477
gene_262	0.2054783994639953	1.6807817218829406	1.2236741439834957
gene_263	0.23082157804354658	2.3629068295837907	2.727595496236108
gene_264	0.19020247403384877	1.3356433225605389	10.54775078621454
gene_265	0.2327772580427543	1.5942946300330347	0.3778956200814119
gene_266	0.2459597369940757	2.1068222012468585	7.56482694818414
gene_267	0.26823428409915717	2.900630840532612	7.1870503101691385
gene_268	0.22943826535855633	1.9777782741182457	1.1186900296702158
gene_269	0.3032687215822862	2.6205653359732652	1.9285042601091122
gene_270	0.221411643064465	2.316096915449198	1.3517602209125963
gene_271	0.15936741433062135	2.479905222084294	17.714712955594774
gene_272	0.09494114308033272	1.6550727152783666	8.891066891830816
gene_273	0.07777913746150203	2.5078348715692727	1.6510233338017406
gene_274	0.31802780866185193	2.1666832140169996	3.6581314330341046
gene_275	0.17663919271441647	2.488341823833895	1.366361859909939
gene_276	0.27466789834855065	1.6516742795853845	8.182881485464984
gene_277	0.12753934920275115	1.8562390992217395	1.0545994456661152
gene_278	0.2005229410633398	1.72108126563392	28.898741328675495
gene_279	0.2549287563034686	2.491896291267093	2.7048517671755117
gene_280	0.25032278045452805	2.2337690011091684	2.888679440711096
gene_281	0.17138556464462237	2.0754051632154913	0.9243914330064074
gene_282	0.40645672626626217	1.800145999323268	1.3584627569729366
gene_283	0.12939541218246994	2.7758894262576446	0.9978868001025737
gene_284	0.2636835912803421	1.707005332606594	2.398883826737693
gene_285	0.24846012351655222	2.2816843849954282	4.754404478253306
gene_286	0.42778528426927204	1.8324040036414497	0.3152400127584842
gene_287	0.20552767717875436	1.7153711060743415	2.794534348410668
gene_288	0.5441624762943169	2.0503291988562418	2.735193885150687
gene_289	0.3123360765619944	3.8594995625486446	5.623965188964935
gene_290	0.24586877866333648	1.9979605734298311	1.0273774872673236
gene_291	0.18017097342639304	2.1302029455247817	7.263008834586903
gene_292	0.17073918084540005	2.134683059424945	3.658287191315294
gene_293	0.16740447404442468	1.6302993495927032	3.319254416845256
gene_294	0.1970662339430476	1.8631272796548513	4.402297699595243
